1.0.0.0,1.0.0.255,AU,Queensland,,South Brisbane,,-27.4767,153.017,
1.0.1.0,1.0.3.255,CN,Fujian,,Gaosha,,26.4837,117.925,
1.0.4.0,1.0.7.255,AU,Victoria,,Narre Warren,,-38.0267,145.301,
1.0.8.0,1.0.15.255,CN,Guangdong,,Xiaolou,,23.379,113.763,

